线路名称,优选地址,网络带宽,峰值速度,往返延迟,数据中心,更新时间
移动,172.67.141.26,10 MB,1368 kB/s,227 毫秒,LHR,2025-12-03 20:43:44
移动,104.25.109.69,20 MB,2642 kB/s,205 毫秒,LAX,2025-12-03 20:47:15
移动,104.25.175.225,18 MB,2351 kB/s,186 毫秒,LAX,2025-12-03 20:52:12
移动,104.16.15.140,17 MB,2239 kB/s,130 毫秒,SEA,2025-12-03 20:52:12
移动,104.16.47.112,30 MB,3873 kB/s,197 毫秒,SEA,2025-12-03 20:47:15
联通,104.19.158.60,28 MB,3650 kB/s,146 毫秒,SJC,2025-12-03 20:49:49
联通,104.17.205.107,39 MB,5061 kB/s,169 毫秒,SJC,2025-12-03 20:48:48
联通,104.17.223.254,28 MB,3610 kB/s,142 毫秒,SJC,2025-12-03 20:40:49
联通,104.17.14.197,28 MB,3681 kB/s,164 毫秒,SJC,2025-12-03 20:48:48
联通,104.16.238.146,42 MB,5454 kB/s,180 毫秒,SJC,2025-12-03 20:40:43
电信,172.64.150.149,24 MB,3162 kB/s,70 毫秒,SIN,2025-12-03 20:51:50
电信,172.64.34.145,24 MB,3116 kB/s,69 毫秒,SIN,2025-12-03 20:51:50
电信,104.18.41.70,34 MB,4393 kB/s,69 毫秒,SIN,2025-12-03 20:51:50
电信,172.64.152.114,30 MB,3918 kB/s,69 毫秒,SIN,2025-12-03 20:51:50
电信,172.64.156.155,25 MB,3271 kB/s,69 毫秒,SIN,2025-12-03 20:51:50
